Nombre_pieces,Prix,Adresse,Image_url
2.0,1200000.0,Almadies,https://images.coinafrique.com/thumb_5349968_uploaded_image1_1748456207.jpg
2.0,250000.0,Ouest Foire,https://images.coinafrique.com/thumb_5371653_uploaded_image1_1749751767.jpg
4.0,750000.0,Mamelles,https://images.coinafrique.com/thumb_5371659_uploaded_image1_1749751923.jpg
2.0,250000.0,HLM,https://images.coinafrique.com/thumb_5371644_uploaded_image1_1749751392.jpg
4.0,1500000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5358826_uploaded_image1_1748969475.jpg
6.0,1500000.0,Ouakam,https://images.coinafrique.com/thumb_5344822_uploaded_image1_1748193137.jpg
4.0,370000.0,Almadies,https://images.coinafrique.com/thumb_5349854_uploaded_image1_1748449223.jpg
2.0,200000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5373094_uploaded_image1_1749830605.jpg
4.0,92000000.0,Ngaparou,https://images.coinafrique.com/thumb_5384181_uploaded_image1_1750435212.jpg
3.0,270000.0,Sicap foire,https://images.coinafrique.com/thumb_5369732_uploaded_image1_1749653406.jpg
4.0,300000.0,Damel,https://images.coinafrique.com/thumb_5369737_uploaded_image1_1749653571.jpg
3.0,1500000.0,Ouakam,https://images.coinafrique.com/thumb_5375642_uploaded_image1_1750000228.jpg
4.0,700000.0,Yoff,https://images.coinafrique.com/thumb_5369671_uploaded_image1_1749651598.jpg
4.0,1600000.0,Fann,https://images.coinafrique.com/thumb_5368074_uploaded_image1_1749564213.jpg
1.0,,Dakar Plateau,https://images.coinafrique.com/thumb_5371359_uploaded_image1_1749738227.jpg
4.0,65900000.0,Rufisque,https://images.coinafrique.com/thumb_5360189_uploaded_image1_1749042943.jpg
4.0,2500000.0,Fann,https://images.coinafrique.com/thumb_5360185_uploaded_image1_1749042754.jpg
5.0,250009.0,Grand Dakar,https://images.coinafrique.com/thumb_5375566_uploaded_image1_1749994815.jpg
4.0,800000.0,Dakar,https://images.coinafrique.com/thumb_5347743_uploaded_image1_1748346001.jpg
3.0,1300000.0,Almadies,https://images.coinafrique.com/thumb_5385440_uploaded_image1_1750512872.jpg
5.0,600000000.0,Almadies,https://images.coinafrique.com/thumb_5366382_uploaded_image1_1749471937.jpg
3.0,350000.0,Diamalaye 1,https://images.coinafrique.com/thumb_5356287_uploaded_image1_1748865036.jpg
4.0,170000000.0,Almadies,https://images.coinafrique.com/thumb_5378687_uploaded_image1_1750162748.jpg
,1500000.0,Point E,https://images.coinafrique.com/thumb_5376925_uploaded_image1_1750077191.92.jpeg
1.0,45000000.0,Ngor,https://images.coinafrique.com/thumb_5375468_uploaded_image1_1749989369.jpg
4.0,400000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5367782_uploaded_image1_1749553287.jpg
5.0,370000000.0,Almadies,https://images.coinafrique.com/thumb_5374110_uploaded_image1_1749898078.jpg
4.0,500000.0,Yoff,https://images.coinafrique.com/thumb_5381925_uploaded_image1_1750330181.jpg
3.0,300000.0,Yoff,https://images.coinafrique.com/thumb_5381904_uploaded_image1_1750329693.jpg
3.0,300000.0,Yoff,https://images.coinafrique.com/thumb_5381915_uploaded_image1_1750329946.jpg
5.0,2500000.0,Almadies,https://images.coinafrique.com/thumb_5370876_uploaded_image1_1749722992.jpg
2.0,300000.0,Yoff,https://images.coinafrique.com/thumb_5385211_uploaded_image1_1750502812.jpg
4.0,550000.0,Yoff,https://images.coinafrique.com/thumb_5385197_uploaded_image1_1750502372.jpg
4.0,180000000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5349092_uploaded_image1_1748423919.jpg
4.0,1500000.0,Almadies,https://images.coinafrique.com/thumb_5379922_uploaded_image1_1750232552.jpg
3.0,750000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5370464_uploaded_image1_1749688348.jpg
3.0,750000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5370466_uploaded_image1_1749688381.jpg
2.0,225000.0,Yoff,https://images.coinafrique.com/thumb_5354034_uploaded_image1_1748729972.jpg
2.0,250000.0,Yoff,https://images.coinafrique.com/thumb_5354018_uploaded_image1_1748728838.jpg
4.0,150000.0,Dakar,https://images.coinafrique.com/thumb_5384802_uploaded_image1_1750461176.jpg
4.0,400000.0,Yoff,https://images.coinafrique.com/thumb_5350179_uploaded_image1_1748467046.jpg
3.0,300000.0,Yoff,https://images.coinafrique.com/thumb_5350173_uploaded_image1_1748466742.jpg
3.0,300000.0,Yoff,https://images.coinafrique.com/thumb_5350175_uploaded_image1_1748466892.jpg
2.0,300000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5357232_uploaded_image1_1748899406.jpg
3.0,300000.0,Yoff,https://images.coinafrique.com/thumb_5346857_uploaded_image1_1748287540.jpg
3.0,275000.0,HLM,https://images.coinafrique.com/thumb_5360802_uploaded_image1_1749064946.jpg
8.0,200000.0,Thies,https://images.coinafrique.com/thumb_5348341_uploaded_image1_1748369367.jpg
4.0,215000000.0,Yoff,https://images.coinafrique.com/thumb_5362284_uploaded_image1_1749149322.jpg
2.0,200000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5381113_uploaded_image1_1750275063.jpg
4.0,1500000.0,Almadies,https://images.coinafrique.com/thumb_5352678_uploaded_image1_1748631442.jpg
5.0,3500000.0,Almadies,https://images.coinafrique.com/thumb_5362230_uploaded_image2_1749147284.jpeg
4.0,1036000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5356930_uploaded_image1_1748886557.jpg
4.0,200000.0,Mbao,https://images.coinafrique.com/thumb_5352565_uploaded_image1_1748626464.jpg
4.0,1000000.0,Almadies,https://images.coinafrique.com/thumb_5384328_uploaded_image1_1750440485.jpg
4.0,450000.0,Mamelles,https://images.coinafrique.com/thumb_5379192_uploaded_image1_1750178803.jpg
,250000.0,Almadies,https://images.coinafrique.com/thumb_5352489_uploaded_image1_1748621650.jpg
2.0,250000.0,Mamelles,https://images.coinafrique.com/thumb_5379178_uploaded_image1_1750177795.jpg
5.0,110000000.0,Yoff,https://images.coinafrique.com/thumb_5352467_uploaded_image1_1748620309.jpg
4.0,300000.0,Djily MBaye,https://images.coinafrique.com/thumb_5362056_uploaded_image1_1749138476.jpg
3.0,550000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5369873_uploaded_image1_1749656881.jpg
2.0,120000.0,Almadies 2,https://images.coinafrique.com/thumb_5384117_uploaded_image1_1750432658.jpg
3.0,40000000.0,HLM,https://images.coinafrique.com/thumb_5384110_uploaded_image1_1750432434.jpg
4.0,1300000.0,Yoff,https://images.coinafrique.com/thumb_5384107_uploaded_image1_1750432315.jpg
1.0,128000000.0,Almadies,https://images.coinafrique.com/thumb_5374373_uploaded_image1_1749910617.jpg
3.0,185000000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5374354_uploaded_image1_1749909198.jpg
12.0,550000.0,Point E,https://images.coinafrique.com/thumb_5347875_uploaded_image1_1748351898.jpg
5.0,400000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5340339_uploaded_image1_1747914335.jpg
2.0,250000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5356460_uploaded_image1_1748870585.jpg
4.0,1600000.0,Almadies,https://images.coinafrique.com/thumb_5352287_uploaded_image1_1748610407.jpg
3.0,300000.0,Ngor,https://images.coinafrique.com/thumb_5361872_uploaded_image1_1749127838.jpg
4.0,450000.0,Mamelles,https://images.coinafrique.com/thumb_5361862_uploaded_image1_1749127250.jpg
3.0,70000000.0,Sipres,https://images.coinafrique.com/thumb_5361844_uploaded_image1_1749126862.jpg
1.0,160000.0,Fass,https://images.coinafrique.com/thumb_5383862_uploaded_image1_1750424344.jpg
4.0,450000.0,Sipres,https://images.coinafrique.com/thumb_5369507_uploaded_image1_1749644848.jpg
1.0,180000.0,Fass,https://images.coinafrique.com/thumb_5383817_uploaded_image1_1750422740.jpg
3.0,700000.0,Mamelles,https://images.coinafrique.com/thumb_5374236_uploaded_image1_1749903906.jpg
4.0,700000.0,Mariste,https://images.coinafrique.com/thumb_5383804_uploaded_image1_1750422316.jpg
3.0,400000.0,Dakar Plateau,https://images.coinafrique.com/thumb_5383794_uploaded_image1_1750422055.jpg
2.0,250000.0,Medina,https://images.coinafrique.com/thumb_5383787_uploaded_image1_1750421859.jpg
,100000.0,Grand Dakar,https://images.coinafrique.com/thumb_5383772_uploaded_image1_1750421277.jpg
4.0,1100000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5378635_uploaded_image1_1750161169.jpg
2.0,175000.0,Ngaparou,https://images.coinafrique.com/thumb_5347533_uploaded_image1_1748339831.jpg
4.0,181000000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5356048_uploaded_image1_1748858260.jpg
4.0,300000.0,Djily MBaye,https://images.coinafrique.com/thumb_5369124_uploaded_image1_1749631838.jpg
4.0,1600000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5382989_uploaded_image1_1750371807.jpg
2.0,75000000.0,Dakar,https://images.coinafrique.com/thumb_5382982_uploaded_image1_1750371536.jpg
2.0,165000000.0,Ngor,https://images.coinafrique.com/thumb_5382971_uploaded_image1_1750371286.jpg
4.0,900000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5382945_uploaded_image1_1750370483.jpg
4.0,900000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5382907_uploaded_image1_1750369431.jpg
3.0,350000.0,Medina,https://images.coinafrique.com/thumb_5382885_uploaded_image1_1750368624.jpg
3.0,290000.0,Fass,https://images.coinafrique.com/thumb_5382871_uploaded_image1_1750368138.jpg
4.0,900000.0,Almadies,https://images.coinafrique.com/thumb_5339495_uploaded_image1_1747866444.jpg
3.0,450000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5348364_uploaded_image1_1748371157.jpg
4.0,450000.0,Ouakam,https://images.coinafrique.com/thumb_5348362_uploaded_image1_1748371030.jpg
4.0,800000.0,Almadies,https://images.coinafrique.com/thumb_5339485_uploaded_image1_1747866193.jpg
2.0,200000.0,Mamelles,https://images.coinafrique.com/thumb_5382617_uploaded_image1_1750354976.jpg
2.0,200000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5342225_uploaded_image1_1748018865.jpg
3.0,380000.0,Mamelles,https://images.coinafrique.com/thumb_5348386_uploaded_image1_1748371917.jpg
3.0,400000.0,Dakar Plateau,https://images.coinafrique.com/thumb_5349351_uploaded_image1_1748433922.jpg
3.0,290000.0,Ouest Foire,https://images.coinafrique.com/thumb_5348378_uploaded_image1_1748371650.jpg
3.0,350000.0,Ouest Foire,https://images.coinafrique.com/thumb_5348374_uploaded_image1_1748371512.jpg
2.0,250000.0,Medina,https://images.coinafrique.com/thumb_5349333_uploaded_image1_1748433482.jpg
3.0,350000.0,Medina,https://images.coinafrique.com/thumb_5349329_uploaded_image1_1748433252.jpg
4.0,1200000.0,Yoff,https://images.coinafrique.com/thumb_5368303_uploaded_image1_1749574368.jpg
3.0,290000.0,Fass,https://images.coinafrique.com/thumb_5349319_uploaded_image1_1748432855.jpg
1.0,180000.0,Fass,https://images.coinafrique.com/thumb_5349322_uploaded_image1_1748433022.jpg
5.0,700000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5342196_uploaded_image1_1748017592.jpg
1.0,180000.0,Fass,https://images.coinafrique.com/thumb_5343944_uploaded_image1_1748111914.jpg
4.0,2500000.0,Fann,https://images.coinafrique.com/thumb_5346599_uploaded_image1_1748276575.jpg
4.0,350000.0,Mariste,https://images.coinafrique.com/thumb_5342192_uploaded_image1_1748017264.jpg
2.0,120000.0,Almadies 2,https://images.coinafrique.com/thumb_5341020_uploaded_image1_1747941978.jpg
4.0,700000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5373119_uploaded_image1_1749831824.jpg
4.0,400000.0,Mamelles,https://images.coinafrique.com/thumb_5382412_uploaded_image1_1750347529.jpg
