Type_annonce,Nombre_pieces,Prix,Adresse,Image_url
Vente,7,200000000,Sicap Liberté,https://images.coinafrique.com/thumb_5381339_uploaded_image1_1750286143.jpg
Vente,5,120000000,Diamniadio,https://images.coinafrique.com/thumb_5375007_uploaded_image1_1749939323.jpg
Vente,3,400000000,Thies,https://images.coinafrique.com/thumb_5374958_uploaded_image1_1749936695.jpg
Vente,8,45000000,Dakar,https://images.coinafrique.com/thumb_5359205_uploaded_image2_1748985502.jpeg
Vente,9,260000000,Yoff,https://images.coinafrique.com/thumb_5348505_uploaded_image1_1748378119.jpg
Vente,4,33000000,Dakar,https://images.coinafrique.com/thumb_5359168_uploaded_image1_1748984039.jpg
Vente,8,500000000,Mamelles,https://images.coinafrique.com/thumb_5374819_uploaded_image1_1749931187.jpg
Vente,8,50000000,Dakar,https://images.coinafrique.com/thumb_5365563_uploaded_image1_1749410528.jpg
Vente,4,100000000,Parcelle Assainies,https://images.coinafrique.com/thumb_5351273_uploaded_image1_1748543340.jpg
Location,5,3000000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5384472_uploaded_image1_1750444578.jpg
Location,8,1400000,Sacré-Coeur,https://images.coinafrique.com/thumb_5352470_uploaded_image1_1748620614.jpg
Vente,Non précisé,210000000,Mbour,https://images.coinafrique.com/thumb_5388679_uploaded_image1_1750700546.jpg
Vente,5,Prixsurdemande,Pikine,https://images.coinafrique.com/thumb_5388606_uploaded_image1_1750697469.jpg
Vente,Non précisé,250000000,Dakar,https://images.coinafrique.com/thumb_5384213_uploaded_image1_1750436252.jpg
Vente,Non précisé,140000000,Dakar,https://images.coinafrique.com/thumb_5384208_uploaded_image1_1750436076.jpg
Location,6,600000,Sacré-Coeur,https://images.coinafrique.com/thumb_5377281_uploaded_image1_1750088782.jpg
Location,6,1500000,Mamelles,https://images.coinafrique.com/thumb_5369767_uploaded_image1_1749654190.jpg
Vente,Non précisé,140000000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5369689_uploaded_image1_1749652181.jpg
Location,7,4000000,Yoff,https://images.coinafrique.com/thumb_5360216_uploaded_image1_1749044206.jpg
Location,6,1700000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5378926_uploaded_image1_1750170578.jpg
Location,6,700000,Mamelles,https://images.coinafrique.com/thumb_5356543_uploaded_image1_1748873067.jpg
Location,8,3000000,Almadies,https://images.coinafrique.com/thumb_5366416_uploaded_image1_1749472997.jpg
Vente,4,80000000,Almadies 2,https://images.coinafrique.com/thumb_5358394_uploaded_image1_1748952844.jpg
Location,5,1500000,Mamelles,https://images.coinafrique.com/thumb_5361813_uploaded_image1_1749125848.jpg
Vente,Non précisé,200000000,Dieuppeul-Derklé,https://images.coinafrique.com/thumb_5357377_uploaded_image1_1748903318.jpg
Location,8,1000000,Sicap Liberté,https://images.coinafrique.com/thumb_5361801_uploaded_image1_1749125296.jpg
Location,5,1500000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5361692_uploaded_image1_1749120314.jpg
Location,6,1000000,Yoff,https://images.coinafrique.com/thumb_5385220_uploaded_image1_1750503037.jpg
