web-scraper-order,web-scraper-start-url,Container_url,Container_url-href,nbre_pieces,nbr_salles_bain,superficie,adresse
"1750613615-1","https://sn.coinafrique.com/categorie/villas?page=119","Vente villa - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2134195","","","","Thies, Sénégal"
"1750613617-2","https://sn.coinafrique.com/categorie/villas?page=119","Villa à vendre Niague Lac Rose","https://sn.coinafrique.com/annonce/villas/villa-a-vendre-niague-lac-rose-2134219","150 m2","","","Dakar, Sénégal"
"1750613620-3","https://sn.coinafrique.com/categorie/villas?page=119","Vente villa  6 piéces - Angré","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-angre-2134481","9","7","300 m2","Dakar, Sénégal"
"1750613622-4","https://sn.coinafrique.com/categorie/villas?page=119","Vente villa 700 m² - Saly","https://sn.coinafrique.com/annonce/villas/vente-villa-700-m-saly-2135171","7","7","700 m2","Dakar, Sénégal"
"1750613625-5","https://sn.coinafrique.com/categorie/villas?page=119","Vente Villa 1000 m² Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-1000-m-almadies-2135452","1000 m2","","","Dakar, Sénégal"
"1750613627-6","https://sn.coinafrique.com/categorie/villas?page=119","Vente Villa R+3 - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-keur-massar-2136133","25","9","200 m2","Guediawaye, Dakar, Sénégal"
"1750613630-7","https://sn.coinafrique.com/categorie/villas?page=119","Vente Villa R+2 10 Pièces 180 m² - Sacré-cœur 3","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-10-pieces-180-m-sacre-cur-3-2136188","8","4","180 m2","Sicap Liberté, Dakar, Sénégal"
"1750613632-8","https://sn.coinafrique.com/categorie/villas?page=119","Location Villa 9 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/location-villa-9-pieces-mamelles-2136195","9","11","1 m2","Ouakam, Dakar, Sénégal"
"1750613635-9","https://sn.coinafrique.com/categorie/villas?page=119","Vente villa 7 pièces aux Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-aux-almadies-2136198","5","5","1200 m2","Sicap Liberté, Dakar, Sénégal"
"1750613637-10","https://sn.coinafrique.com/categorie/villas?page=119","Vente Villa 9 Pièces - Saly","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-saly-2136212","500","","","Saly, Sénégal"
"1750613640-11","https://sn.coinafrique.com/categorie/villas?page=119","Villa R+1 à Keur massar","https://sn.coinafrique.com/annonce/villas/villa-r1-a-keur-massar-2136244","3","2","180 m2","Sicap Liberté, Dakar, Sénégal"
"1750613643-12","https://sn.coinafrique.com/categorie/villas?page=119","Vente Villa - Liberté 5","https://sn.coinafrique.com/annonce/villas/vente-villa-liberte-5-2136249","3","2","140 m2","Sicap Liberté, Dakar, Sénégal"
"1750613645-13","https://sn.coinafrique.com/categorie/villas?page=119","Vente Villa 3 Pièces - Mbour","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-mbour-2136268","3","3","600","Mbour, Sénégal"
"1750613648-14","https://sn.coinafrique.com/categorie/villas?page=119","Location villa  4 pièces à Keur massar","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-a-keur-massar-2136274","3","1","150 m2","Guediawaye, Dakar, Sénégal"
"1750613650-15","https://sn.coinafrique.com/categorie/villas?page=119","Location villa 7 pièces - Mermoz sacré coeur","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mermoz-sacre-coeur-2136378","7","400","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1750613653-16","https://sn.coinafrique.com/categorie/villas?page=119","Vente villa 6 pièces - Liberté 6","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-liberte-6-2136552","4","4","200 m2","Sicap Liberté, Dakar, Sénégal"
"1750613655-17","https://sn.coinafrique.com/categorie/villas?page=119","Vente villa 6 pièces - Mamelles aéroport","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-mamelles-aeroport-2137760","6","8","200","Yoff, Dakar, Sénégal"
