web-scraper-order,web-scraper-start-url,container_url,container_url-href,nbre_pieces,nbre_salles_bain,superficie,adresse
"1750611599-1","https://sn.coinafrique.com/categorie/appartements?page=119","Location appartements 3 pièces - Mermoz-sacré coeur","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mermoz-sacre-coeur-3271472","3","4","211","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1750611604-2","https://sn.coinafrique.com/categorie/appartements?page=118","Vente appartement  à Fann résidence","https://sn.coinafrique.com/annonce/appartements/vente-appartement-a-fann-residence-3298942","4","4","185","Fann, Dakar, Sénégal"
"1750611618-3","https://sn.coinafrique.com/categorie/appartements?page=117","Location Studio - Mermoz","https://sn.coinafrique.com/annonce/appartements/location-studio-mermoz-3335185","2","1","150 m2","Dakar, Sénégal"
"1750611631-4","https://sn.coinafrique.com/categorie/appartements?page=116","Location appartement 4 pièces - Ouakam","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ouakam-3366954","4","4","180","Ouakam, Dakar, Sénégal"
"1750611641-5","https://sn.coinafrique.com/categorie/appartements?page=115","Location appartement 4 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3391448","4","3","176","Almadies, Dakar, Sénégal"
"1750611662-6","https://sn.coinafrique.com/categorie/appartements?page=114","Vente appartement 4 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-almadies-3416721","4","4","341","Almadies, Dakar, Sénégal"
"1750611677-7","https://sn.coinafrique.com/categorie/appartements?page=113","Location appartement 2 pièces - Mermoz - Sacré coeur","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-sacre-coeur-3486916","2","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1750611689-8","https://sn.coinafrique.com/categorie/appartements?page=112","Location Appartements 4 pièces - Keur Massar","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-keur-massar-3507451","3","2","150 m2","Keur Massar, Sénégal"
"1750611700-9","https://sn.coinafrique.com/categorie/appartements?page=111","Location appartement 2 pièces - Yoff","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-yoff-3532022","2","1","","Yoff, Dakar, Sénégal"
"1750611715-10","https://sn.coinafrique.com/categorie/appartements?page=110","Location appartement 3 pièces - Sicap Liberté 4","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sicap-liberte-4-3533497","3","2","","Sicap Liberté, Dakar, Sénégal"
"1750611728-11","https://sn.coinafrique.com/categorie/appartements?page=109","Location appartement 3 pièces - Zac Mbao","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-zac-mbao-3587505","3","2","150 m2","Rufisque, Sénégal"
"1750611744-12","https://sn.coinafrique.com/categorie/appartements?page=108","Location appartements 3 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ngor-3569971","3","3","3","Ngor, Dakar, Sénégal"
"1750611753-13","https://sn.coinafrique.com/categorie/appartements?page=107","Location Appartement 4 pièces - Ngor Virage","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ngor-virage-3591276","4","3","250 m2","Ngor, Dakar, Sénégal"
"1750611767-14","https://sn.coinafrique.com/categorie/appartements?page=106","Location Appartement 2 pièces - Yoff","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-yoff-3637926","2","1","150","Yoff, Dakar, Sénégal"
"1750611776-15","https://sn.coinafrique.com/categorie/appartements?page=105","Location Appartement 4 pièces - Mermoz Sacré Coeur","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3630504","4","4","212","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1750611790-16","https://sn.coinafrique.com/categorie/appartements?page=104","Location appartement 4 pièces - Dakar plateau","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-plateau-3651877","4","3","211","Dakar Plateau, Dakar, Sénégal"
"1750611802-17","https://sn.coinafrique.com/categorie/appartements?page=103","Location appartement 3 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mamelles-3710530","3","3","100","Ouakam, Dakar, Sénégal"
"1750611811-18","https://sn.coinafrique.com/categorie/appartements?page=102","Location appartement 3 pièces - Mermoz-Sacré Coeur","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-3725376","3","1","1","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1750611824-19","https://sn.coinafrique.com/categorie/appartements?page=101","Location Studio standing - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-studio-standing-mamelles-3710156","2","2","165 m2","Mamelles, Dakar, Sénégal"
"1750611833-20","https://sn.coinafrique.com/categorie/appartements?page=100","Vente Appartements 2 pièces - Dubaï jvc","https://sn.coinafrique.com/annonce/appartements/vente-appartements-2-pieces-dubai-jvc-3773091","2","80","","Dakar, Sénégal"
