web-scraper-order,web-scraper-start-url,containers_url,containers_url-href,superficie,prix,adresse,image_url,image_url-href
"1750583363-1","https://sn.coinafrique.com/categorie/terrains?page=119","Vente terrains 220 m2  - Mbao","https://sn.coinafrique.com/annonce/terrains/vente-terrains-220-m2-mbao-2784267","220","35 000 000 CFA","Vente terrains 220 m2  - Mbao","",""
"1750583366-2","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain  150 m² - Tivaouane Peulh","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-tivaouane-peulh-2784586","","15 000 000 CFA","Terrain  150 m² - Tivaouane Peulh","favorite_border 
      
    
            
              
              
            
            
              
               4 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-rufisque-5169028"
"1750583368-3","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain - Djender","https://sn.coinafrique.com/annonce/terrains/terrain-djender-2784931","90000 m2","12 500 000 CFA","Terrain - Djender","favorite_border 
      
    
            
              
              
            
            
              
               3 
               années","https://sn.coinafrique.com/annonce/terrains/terrain-djender-3568718"
"1750583371-4","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 218m² - Dakar","https://sn.coinafrique.com/annonce/terrains/vente-terrain-218m-dakar-2784986","218","95 000 000 CFA","Vente Terrain 218m² - Dakar","",""
"1750583373-5","https://sn.coinafrique.com/categorie/terrains?page=119","Ventre Terrains - Lac Rose","https://sn.coinafrique.com/annonce/terrains/ventre-terrains-lac-rose-2785037","150 m2","3 000 000 CFA","Ventre Terrains - Lac Rose","",""
"1750583375-6","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 150 m2 - Dakar","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-dakar-2785923","150","40 000 000 CFA","Terrains 150 m2 - Dakar","favorite_border 
      
    
            
              
              
            
            
              
               18 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-a-apix-5358028"
"1750583378-7","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain - Keur massar","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-2786001","15 m2","15 000 000 CFA","Terrain - Keur massar","favorite_border 
      
    
            
              
              
            
            
              
               4 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-tf-global-a-diamniadio-5338670"
"1750583380-8","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains - Tambacounda","https://sn.coinafrique.com/annonce/terrains/terrains-tambacounda-2786242","300 m2","5 000 000 CFA","Terrains - Tambacounda","favorite_border 
      
    
            
              
              
            
            
              
               2 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-400m-tambacounda-3904726"
"1750583383-9","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 500 m2 - VDN - Mermoz - Sacrécoeur","https://sn.coinafrique.com/annonce/terrains/terrain-500-m2-vdn-mermoz-sacrecoeur-2786332","500","200 000 000 CFA","Terrain 500 m2 - VDN - Mermoz - Sacrécoeur","",""
"1750583385-10","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain commercial  -  Petit Mbao","https://sn.coinafrique.com/annonce/terrains/terrain-commercial-petit-mbao-2786781","400 m2","100 000 000 CFA","Terrain commercial  -  Petit Mbao","",""
